,Start Date,End Date,ADP
0,2016-05-15,2016-06-13,9820.0
1,2016-06-14,2016-07-13,9796.0
2,2016-07-14,2016-08-12,9730.0
3,2016-08-13,2016-09-11,9824.0
4,2016-09-12,2016-10-11,9845.0
5,2016-10-12,2016-11-10,9822.0
6,2016-11-11,2016-12-10,9690.0
7,2016-12-11,2017-01-09,9333.0
8,2017-01-10,2017-02-08,9473.0
9,2017-02-09,2017-03-10,9503.0
10,2017-03-11,2017-04-09,9377.0
11,2017-04-10,2017-05-09,9301.0
12,2017-05-10,2017-06-08,9279.0
13,2017-06-09,2017-07-08,9236.0
14,2017-07-09,2017-08-07,9216.0
15,2017-08-08,2017-09-06,9216.0
16,2017-09-07,2017-10-06,9299.0
17,2017-10-07,2017-11-05,9250.0
18,2017-11-06,2017-12-05,9214.0
19,2017-12-06,2018-01-04,8992.0
20,2018-01-05,2018-02-03,9030.0
21,2018-02-04,2018-03-05,9075.0
22,2018-03-06,2018-04-04,8849.0
23,2018-04-05,2018-05-04,8631.0
24,2018-05-05,2018-06-03,8457.0
25,2018-06-04,2018-07-03,8308.0
26,2018-07-04,2018-08-02,8211.0
27,2018-08-03,2018-09-01,8190.0
28,2018-09-02,2018-10-01,8314.0
29,2018-10-02,2018-10-31,8309.0
30,2018-11-01,2018-11-30,8244.0
31,2018-12-01,2018-12-30,8066.0
32,2018-12-31,2019-01-29,8060.0
33,2019-01-30,2019-02-28,8145.0
34,2019-03-01,2019-03-30,7920.0
35,2019-03-31,2019-04-29,7715.0
36,2019-04-30,2019-05-29,7573.0
37,2019-05-30,2019-06-28,7479.0
38,2019-06-29,2019-07-28,7376.0
39,2019-07-29,2019-08-27,7223.0
40,2019-08-28,2019-09-26,7163.0
41,2019-09-27,2019-10-26,7223.0
42,2019-10-27,2019-11-25,7051.0
43,2019-11-26,2019-12-25,6572.0
44,2019-12-26,2020-01-24,5767.0
45,2020-01-25,2020-02-23,5492.0
46,2020-02-24,2020-03-24,5415.0
47,2020-03-25,2020-04-23,4339.0
48,2020-04-24,2020-05-23,3877.0
49,2020-05-24,2020-06-22,3970.0
50,2020-06-23,2020-07-22,3942.0
51,2020-07-23,2020-08-21,4020.0
52,2020-08-22,2020-09-20,4212.0
53,2020-09-21,2020-10-20,4424.0
54,2020-10-21,2020-11-19,4670.0
55,2020-11-20,2020-12-19,4837.0
56,2020-12-20,2021-01-18,5024.0
57,2021-01-19,2021-02-17,5327.0
58,2021-02-18,2021-03-19,5577.0
59,2021-03-20,2021-04-18,5733.0
60,2021-04-19,2021-05-18,5674.0
61,2021-05-19,2021-06-17,5723.0
62,2021-06-18,2021-07-17,5848.0
63,2021-07-18,2021-08-16,5913.0
64,2021-08-17,2021-09-15,6026.0
65,2021-09-16,2021-10-15,5791.0
66,2021-10-16,2021-11-14,5526.0
67,2021-11-15,2021-12-14,5410.0
68,2021-12-15,2022-01-13,5403.0
69,2022-01-14,2022-02-12,5553.0
70,2022-02-13,2022-03-14,5674.0
71,2022-03-15,2022-04-13,5555.0
72,2022-04-14,2022-05-13,5459.0
73,2022-05-14,2022-06-12,5506.0
74,2022-06-13,2022-07-12,5623.0
75,2022-07-13,2022-08-11,5675.0
76,2022-08-12,2022-09-10,5725.0
77,2022-09-11,2022-10-10,5855.0
78,2022-10-11,2022-11-09,5898.0
79,2022-11-10,2022-12-09,5900.0
80,2022-12-10,2023-01-08,5806.0
81,2023-01-09,2023-02-07,5954.0
82,2023-02-08,2023-03-09,5924.0
83,2023-03-10,2023-04-08,5913.0
84,2023-04-09,2023-05-08,5976.0
85,2023-05-09,2023-06-07,6023.0
86,2023-06-08,2023-07-07,6076.0
87,2023-07-08,2023-08-06,6171.0
88,2023-08-07,2023-09-05,6193.0
89,2023-09-06,2023-10-05,6187.0
90,2023-10-06,2023-11-04,6176.0
91,2023-11-05,2023-12-04,6153.0
92,2023-12-05,2024-01-03,6054.0
93,2024-01-04,2024-02-02,6129.0
94,2024-02-03,2024-03-03,6220.0
95,2024-03-04,2024-04-02,6290.0
96,2024-04-03,2024-05-02,6316.0
97,2024-05-03,2024-06-01,6313.0
98,2024-06-02,2024-07-01,6383.0
99,2024-07-02,2024-07-31,6387.0
100,2024-08-01,2024-08-30,6443.0
101,2024-08-31,2024-09-29,6509.0
