,Start Date,End Date,End Date,total_felony_arrest,violent_felony_arrest,total_misdemeanor_arrest,arrest_murder_homicide_count,arrest_robbery_count,arrest_assault_count,arrest_burglary_count,arrest_rape_count,arrest_grand_larceny_count,arrest_grand_larceny_vehicle_count
385,2023-10-01,2023-10-07,2023-10-07,2145,691,2614,1,231,447,102,12,211,65
386,2023-10-08,2023-10-14,2023-10-14,1922,643,2364,1,206,423,124,13,199,37
387,2023-10-15,2023-10-21,2023-10-21,1843,588,2444,1,230,349,103,8,209,37
388,2023-10-22,2023-10-28,2023-10-28,2218,678,2528,0,246,416,158,16,275,61
389,2023-10-29,2023-11-04,2023-11-04,1952,636,2398,2,212,414,118,8,174,36
390,2023-11-05,2023-11-11,2023-11-11,2144,675,2554,1,252,411,127,11,260,48
391,2023-11-12,2023-11-18,2023-11-18,2022,664,2602,2,265,388,110,9,225,61
392,2023-11-19,2023-11-25,2023-11-25,1495,536,2118,0,185,337,116,14,169,32
393,2023-11-26,2023-12-02,2023-12-02,1940,677,2378,0,252,413,97,12,197,36
394,2023-12-03,2023-12-09,2023-12-09,1946,665,2418,0,254,397,124,14,238,19
395,2023-12-10,2023-12-16,2023-12-16,1829,538,2332,1,185,343,122,9,208,34
396,2023-12-17,2023-12-23,2023-12-23,1702,606,2145,1,213,381,139,11,236,25
397,2023-12-24,2023-12-30,2023-12-30,1452,512,2023,2,154,341,90,15,154,34
398,2023-12-31,2024-01-06,2024-01-06,1887,626,2398,0,210,402,111,14,202,33
399,2024-01-07,2024-01-13,2024-01-13,2064,658,2704,1,261,386,125,10,248,45
400,2024-01-14,2024-01-20,2024-01-20,1871,587,2684,2,214,353,106,18,233,37
401,2024-01-21,2024-01-27,2024-01-27,2035,622,2985,1,238,371,141,12,228,47
402,2024-01-28,2024-02-03,2024-02-03,2061,652,2901,0,230,406,83,16,272,43
403,2024-02-04,2024-02-10,2024-02-10,2448,714,2906,1,274,430,143,9,338,63
404,2024-02-11,2024-02-17,2024-02-17,2010,651,2688,1,215,425,128,10,193,55
405,2024-02-18,2024-02-24,2024-02-24,1939,576,2705,2,177,383,100,14,235,44
406,2024-02-25,2024-03-02,2024-03-02,2008,603,2634,2,195,395,133,11,211,33
407,2024-03-03,2024-03-09,2024-03-09,2122,699,2787,2,244,442,146,11,247,39
408,2024-03-10,2024-03-16,2024-03-16,2296,743,2923,3,269,452,183,19,245,47
409,2024-03-17,2024-03-23,2024-03-23,2059,631,2688,2,186,419,99,24,233,50
410,2024-03-24,2024-03-30,2024-03-30,1853,642,2580,0,228,405,109,9,184,23
411,2024-03-31,2024-04-06,2024-04-06,1818,630,2423,1,222,398,115,9,161,26
412,2024-04-07,2024-04-13,2024-04-13,2196,664,2925,3,227,418,117,16,258,48
413,2024-04-14,2024-04-20,2024-04-20,2123,708,2863,1,229,465,146,13,183,39
414,2024-04-21,2024-04-27,2024-04-27,1852,641,2572,0,207,422,120,12,174,23
415,2024-04-28,2024-05-04,2024-05-04,2141,701,2755,1,254,434,173,12,201,37
416,2024-05-05,2024-05-11,2024-05-11,2184,707,2752,0,250,443,114,14,262,45
417,2024-05-12,2024-05-18,2024-05-18,2058,673,2779,2,226,425,140,20,253,31
418,2024-05-19,2024-05-25,2024-05-25,2201,761,2929,1,255,490,135,15,235,49
419,2024-05-26,2024-06-01,2024-06-01,1999,690,2828,0,206,473,148,11,209,38
420,2024-06-02,2024-06-08,2024-06-08,2308,779,3008,3,268,490,86,18,283,39
421,2024-06-09,2024-06-15,2024-06-15,2285,734,2859,0,266,456,127,12,241,40
422,2024-06-16,2024-06-22,2024-06-22,2221,807,2957,0,254,539,136,14,240,46
423,2024-06-23,2024-06-29,2024-06-29,2104,726,2738,1,214,492,80,19,222,55
