,Start Date,End Date,End Date,total_felony_crimes,violent_felony_crimes,total_misdemeanor_crimes,murder_homicide_count,robbery_count,assault_count,burglary_count,rape_count,grand_larceny_count,grand_larceny_vehicle_count
371,2023-06-25,2023-07-01,2023-07-01,3900,1078,5555,11,369,665,252,33,1059,338
372,2023-07-02,2023-07-08,2023-07-08,3725,998,5573,11,334,635,232,18,933,322
373,2023-07-09,2023-07-15,2023-07-15,3710,955,5553,6,316,601,279,32,966,315
374,2023-07-16,2023-07-22,2023-07-22,3752,984,5505,6,378,578,276,22,969,371
375,2023-07-23,2023-07-29,2023-07-29,3751,1029,5605,9,356,641,290,23,978,357
376,2023-07-30,2023-08-05,2023-08-05,3871,968,5447,8,356,588,293,16,1044,328
377,2023-08-06,2023-08-12,2023-08-12,3747,933,5573,5,350,558,260,20,996,352
378,2023-08-13,2023-08-19,2023-08-19,3692,954,5361,3,348,577,262,26,990,338
379,2023-08-20,2023-08-26,2023-08-26,3563,930,5507,12,380,520,247,18,956,345
380,2023-08-27,2023-09-02,2023-09-02,3691,940,5550,10,348,553,253,29,1009,306
381,2023-09-03,2023-09-09,2023-09-09,3683,962,5473,8,359,579,273,16,947,327
382,2023-09-10,2023-09-16,2023-09-16,3819,976,5372,6,345,608,272,17,1012,344
383,2023-09-17,2023-09-23,2023-09-23,3333,889,5045,5,335,527,227,22,845,332
384,2023-09-24,2023-09-30,2023-09-30,3276,807,5011,11,291,491,245,14,858,331
385,2023-10-01,2023-10-07,2023-10-07,3812,1001,5821,10,361,604,252,26,998,321
386,2023-10-08,2023-10-14,2023-10-14,3320,824,5344,0,319,491,243,14,846,308
387,2023-10-15,2023-10-21,2023-10-21,3476,892,5415,6,379,484,266,23,904,309
388,2023-10-22,2023-10-28,2023-10-28,3618,950,5548,4,343,579,261,24,907,292
389,2023-10-29,2023-11-04,2023-11-04,3527,877,5508,8,334,521,255,14,970,276
390,2023-11-05,2023-11-11,2023-11-11,3442,881,5443,1,344,518,242,18,871,279
391,2023-11-12,2023-11-18,2023-11-18,3409,848,5446,9,337,492,258,10,837,311
392,2023-11-19,2023-11-25,2023-11-25,3017,825,4905,7,311,484,268,23,768,252
393,2023-11-26,2023-12-02,2023-12-02,3329,817,5208,13,304,481,248,19,936,276
394,2023-12-03,2023-12-09,2023-12-09,3237,841,5323,15,358,450,218,18,898,251
395,2023-12-10,2023-12-16,2023-12-16,3146,803,5097,3,338,444,231,18,840,300
396,2023-12-17,2023-12-23,2023-12-23,3078,846,4888,2,355,471,269,18,796,286
397,2023-12-24,2023-12-30,2023-12-30,2802,853,4264,4,349,482,218,18,647,240
398,2023-12-31,2024-01-06,2024-01-06,3389,926,4964,6,347,543,212,30,838,261
399,2024-01-07,2024-01-13,2024-01-13,3414,821,5250,3,345,459,278,14,877,284
400,2024-01-14,2024-01-20,2024-01-20,3101,774,5070,8,284,457,211,25,816,222
401,2024-01-21,2024-01-27,2024-01-27,3502,816,5603,6,331,463,283,16,940,263
402,2024-01-28,2024-02-03,2024-02-03,3475,827,5680,5,330,470,225,22,969,223
403,2024-02-04,2024-02-10,2024-02-10,3519,822,5667,5,291,505,216,21,901,258
404,2024-02-11,2024-02-17,2024-02-17,3194,828,5443,4,278,520,246,26,768,233
405,2024-02-18,2024-02-24,2024-02-24,3221,770,5269,4,295,452,261,19,815,219
406,2024-02-25,2024-03-02,2024-03-02,3232,836,5500,5,315,488,262,28,834,181
407,2024-03-03,2024-03-09,2024-03-09,3341,819,5510,3,283,514,245,19,851,223
408,2024-03-10,2024-03-16,2024-03-16,3465,842,5714,6,274,531,230,31,881,271
409,2024-03-17,2024-03-23,2024-03-23,3256,813,5416,9,271,513,231,20,810,216
410,2024-03-24,2024-03-30,2024-03-30,3170,868,5070,11,321,515,236,21,799,245
411,2024-03-31,2024-04-06,2024-04-06,3262,843,5042,2,302,520,238,19,830,257
412,2024-04-07,2024-04-13,2024-04-13,3327,851,5599,3,299,525,210,24,785,250
413,2024-04-14,2024-04-20,2024-04-20,3523,950,5592,7,325,602,235,16,793,280
414,2024-04-21,2024-04-27,2024-04-27,3307,878,5317,5,314,542,269,17,824,253
415,2024-04-28,2024-05-04,2024-05-04,3553,955,5529,7,334,588,230,26,863,252
416,2024-05-05,2024-05-11,2024-05-11,3448,905,5502,6,311,571,215,17,846,264
417,2024-05-12,2024-05-18,2024-05-18,3403,904,5633,4,326,551,239,23,800,294
418,2024-05-19,2024-05-25,2024-05-25,3665,1041,5930,12,325,678,271,26,872,269
419,2024-05-26,2024-06-01,2024-06-01,3450,1032,5614,6,366,633,244,27,786,269
420,2024-06-02,2024-06-08,2024-06-08,3609,999,5826,10,325,637,218,27,834,272
421,2024-06-09,2024-06-15,2024-06-15,3438,909,5774,5,311,569,239,24,775,270
422,2024-06-16,2024-06-22,2024-06-22,3414,1053,5691,8,330,695,225,20,695,317
423,2024-06-23,2024-06-29,2024-06-29,3118,956,5005,4,336,598,163,18,693,271
